Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration,
N/A,IGP_II_20170417,Specimen,Sample(29),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,382.722222,
N/A,IGP_II_20170417,Specimen,Sample(30),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1408.450704,
N/A,IGP_II_20170417,Specimen,Sample(30),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"45,895",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,646.408451,
N/A,IGP_II_20170417,Specimen,Sample(30),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1408.450704,
N/A,IGP_II_20170417,Specimen,Sample(30),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,556.746479,
N/A,IGP_II_20170417,Specimen,Sample(31),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2040.816327,
N/A,IGP_II_20170417,Specimen,Sample(31),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"31,488",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,642.612245,
N/A,IGP_II_20170417,Specimen,Sample(31),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2040.816327,
N/A,IGP_II_20170417,Specimen,Sample(31),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,552.22449,
N/A,IGP_II_20170417,Specimen,Sample(32),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1111.111111,
N/A,IGP_II_20170417,Specimen,Sample(32),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"47,540",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,528.222222,
N/A,IGP_II_20170417,Specimen,Sample(32),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1111.111111,
N/A,IGP_II_20170417,Specimen,Sample(32),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,466.833333,
N/A,IGP_II_20170417,Specimen,Sample(33),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1612.903226,
N/A,IGP_II_20170417,Specimen,Sample(33),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"45,130",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,727.903226,
